ID,Plant,snail,SampleDay,RametNumber,PVI
A02,My,LS,0,0,34.24
A07,My,HS,0,0,33.61
A11,My,HS,0,0,14.36
A14,My,LS,0,0,48.84
B04,My,HS,0,0,29.93
B11,My,LS,0,8,26.49
A01,PB,LS,0,0,11.7
A04,PB,HS,0,0,7.88
A09,PB,LS,0,0,12.28
A12,PB,HS,0,0,7.46
B07,PB,HS,0,0,8.58
B10,PB,LS,0,0,7.26
A05,PC,LS,0,0,1.26
A10,PC,HS,0,0,2.13
B03,PC,HS,0,0,1.9
B05,PC,LS,0,0,1.76
B08,PC,LS,0,0,2.29
B13,PC,HS,0,0,2.37
A06,PW,LS,0,5,7.18
A13,PW,LS,0,4,9.02
B01,PW,LS,0,4,10.18
B09,PW,HS,0,5,12.21
B12,PW,HS,0,4,11.79
B15,PW,HS,0,4,18.86
A02,My,LS,1,8,42.07
A07,My,HS,1,2,31.67
A11,My,HS,1,0,34.31
A14,My,LS,1,0,40.35
B04,My,HS,1,0,35.54
B11,My,LS,1,11,42.99
A01,PB,LS,1,6,21.09
A04,PB,HS,1,0,9.16
A09,PB,LS,1,9,26.78
A12,PB,HS,1,2,9.29
B07,PB,HS,1,0,18.68
B10,PB,LS,1,0,18.41
A05,PC,LS,1,0,3.37
A10,PC,HS,1,0,3.28
B03,PC,HS,1,0,0.59
B05,PC,LS,1,0,1
B08,PC,LS,1,0,3.02
B13,PC,HS,1,0,2.84
A06,PW,LS,1,16,11.4
A13,PW,LS,1,12,9.02
B01,PW,LS,1,19,10.7
B09,PW,HS,1,13,9.67
B12,PW,HS,1,14,8.69
B15,PW,HS,1,17,17.08
A02,My,LS,2,12,42.07
A07,My,HS,2,10,31.67
A11,My,HS,2,4,34.31
A14,My,LS,2,0,40.35
B04,My,HS,2,0,35.54
B11,My,LS,2,14,42.99
A01,PB,LS,2,60,21.09
A04,PB,HS,2,96,9.16
A09,PB,LS,2,84,26.78
A12,PB,HS,2,98,9.29
B07,PB,HS,2,0,18.68
B10,PB,LS,2,0,18.41
A05,PC,LS,2,0,3.37
A10,PC,HS,2,9,3.28
B03,PC,HS,2,0,0.59
B05,PC,LS,2,0,1
B08,PC,LS,2,0,3.02
B13,PC,HS,2,0,2.84
A06,PW,LS,2,31,11.4
A13,PW,LS,2,21,9.02
B01,PW,LS,2,26,10.7
B09,PW,HS,2,21,9.67
B12,PW,HS,2,25,8.69
B15,PW,HS,2,25,17.08
A02,My,LS,3,24,23.34
A07,My,HS,3,24,18.67
A11,My,HS,3,16,25.16
A14,My,LS,3,16,28.34
B04,My,HS,3,10,13.88
B11,My,LS,3,13,26.28
A01,PB,LS,3,60,7.53
A04,PB,HS,3,87,9
A09,PB,LS,3,50,9.52
A12,PB,HS,3,93,7.47
B07,PB,HS,3,0,7.67
B10,PB,LS,3,112,15.62
A05,PC,LS,3,0,7.48
A10,PC,HS,3,16,5.98
B03,PC,HS,3,17,3.97
B05,PC,LS,3,0,9.54
B08,PC,LS,3,15,7.36
B13,PC,HS,3,0,5.63
A06,PW,LS,3,32,11.1
A13,PW,LS,3,24,9.98
B01,PW,LS,3,20,8.67
B09,PW,HS,3,23,9.64
B12,PW,HS,3,25,21.39
B15,PW,HS,3,25,7.19
A02,My,LS,4,26,39.76
A07,My,HS,4,24,35.09
A11,My,HS,4,16,27.79
A14,My,LS,4,16,24.55
B04,My,HS,4,12,38.08
B11,My,LS,4,18,24.29
A01,PB,LS,4,68,7.17
A04,PB,HS,4,56,10.18
A09,PB,LS,4,72,21.32
A12,PB,HS,4,44,3.89
B07,PB,HS,4,100,10.18
B10,PB,LS,4,68,17.06
A05,PC,LS,4,40,15.17
A10,PC,HS,4,30,3
B03,PC,HS,4,22,12.45
B05,PC,LS,4,36,6.4
B08,PC,LS,4,31,4.88
B13,PC,HS,4,35,10.81
A06,PW,LS,4,28,6.28
A13,PW,LS,4,22,15.85
B01,PW,LS,4,18,8.41
B09,PW,HS,4,19,5.71
B12,PW,HS,4,27,2
B15,PW,HS,4,17,14.32
A02,My,LS,5,33,19.18
A07,My,HS,5,26,7.66
A11,My,HS,5,26,6.35
A14,My,LS,5,23,19.05
B04,My,HS,5,15,17.18
B11,My,LS,5,21,21.88
A01,PB,LS,5,72,6.88
A04,PB,HS,5,84,9.8
A09,PB,LS,5,56,5.58
A12,PB,HS,5,40,4.52
B07,PB,HS,5,32,7.98
B10,PB,LS,5,60,9.8
A05,PC,LS,5,104,7.85
A10,PC,HS,5,44,4
B03,PC,HS,5,36,14.22
B05,PC,LS,5,34,3.02
B08,PC,LS,5,41,2.41
B13,PC,HS,5,50,1.3
A06,PW,LS,5,33,1.49
A13,PW,LS,5,18,0.85
B01,PW,LS,5,24,2.02
B09,PW,HS,5,16,2.02
B12,PW,HS,5,23,1.94
B15,PW,HS,5,18,1.27
A02,My,LS,6,38,15.33
A07,My,HS,6,26,10.1
A11,My,HS,6,20,5.55
A14,My,LS,6,29,8.33
B04,My,HS,6,18,7.18
B11,My,LS,6,25,19.1
A01,PB,LS,6,125,8.68
A04,PB,HS,6,120,8.98
A09,PB,LS,6,112,8.54
A12,PB,HS,6,143,2.54
B07,PB,HS,6,166,9.87
B10,PB,LS,6,147,7.89
A05,PC,LS,6,92,5.87
A10,PC,HS,6,47,4
B03,PC,HS,6,53,2.12
B05,PC,LS,6,45,2.03
B08,PC,LS,6,55,1.42
B13,PC,HS,6,23,3.1
A06,PW,LS,6,29,9.41
A13,PW,LS,6,35,5.8
B01,PW,LS,6,25,2.02
B09,PW,HS,6,26,2.2
B12,PW,HS,6,27,4.91
B15,PW,HS,6,26,1.3
